year,locationname,locationid,category,measure,data_value,data_value_unit,data_value_type,low_confidence_limit,high_confidence_limit,totalpopulation
2023,Monterey,06053,Disability,Mobility disability among adults,14.5,%,Age-adjusted prevalence,12.2,16.9,430723
2023,Monterey,06053,Health-Related Social Needs,Utility services shut-off threat in the past 12 months among adults,9.4,%,Age-adjusted prevalence,7.8,11.2,430723
2023,Monterey,06053,Health Status,Fair or poor self-rated health status among adults,25.4,%,Age-adjusted prevalence,21.5,29.7,430723
2023,Monterey,06053,Health Outcomes,Depression among adults,19.4,%,Age-adjusted prevalence,16.6,22.5,430723
2023,Monterey,06053,Health-Related Social Needs,Lack of social and emotional support among adults,27.8,%,Crude prevalence,23.8,32.2,430723
2023,Monterey,06053,Health Outcomes,Chronic obstructive pulmonary disease among adults,5.7,%,Crude prevalence,4.8,6.8,430723
2023,Monterey,06053,Health Outcomes,Coronary heart disease among adults,6.2,%,Crude prevalence,5.4,7.0,430723
2023,Monterey,06053,Health Status,Frequent physical distress among adults,14.4,%,Age-adjusted prevalence,12.4,16.6,430723
2023,Monterey,06053,Health Outcomes,High cholesterol among adults who have ever been screened,35.2,%,Crude prevalence,31.4,39.1,430723
2023,Monterey,06053,Health Risk Behaviors,Binge drinking among adults,16.4,%,Crude prevalence,13.6,19.4,430723
2023,Monterey,06053,Health Risk Behaviors,No leisure-time physical activity among adults,27.0,%,Crude prevalence,22.7,32.0,430723
2022,Monterey,06053,Prevention,Visited dentist or dental clinic in the past year among adults,57.8,%,Crude prevalence,54.3,61.5,430723
2023,Monterey,06053,Disability,Self-care disability among adults,4.6,%,Crude prevalence,4.0,5.4,430723
2023,Monterey,06053,Health Outcomes,High blood pressure among adults,30.3,%,Age-adjusted prevalence,26.9,34.0,430723
2023,Monterey,06053,Prevention,Current lack of health insurance among adults aged 18-64 years,16.2,%,Age-adjusted prevalence,12.3,20.5,430723
2023,Monterey,06053,Prevention,Current lack of health insurance among adults aged 18-64 years,15.9,%,Crude prevalence,12.1,20.1,430723
2023,Monterey,06053,Disability,Any disability among adults,31.3,%,Age-adjusted prevalence,26.8,36.2,430723
2023,Monterey,06053,Health Status,Frequent mental distress among adults,16.7,%,Crude prevalence,14.6,19.0,430723
2023,Monterey,06053,Health Outcomes,Diagnosed diabetes among adults,12.5,%,Crude prevalence,10.9,14.4,430723
2023,Monterey,06053,Health Outcomes,Obesity among adults,31.4,%,Age-adjusted prevalence,25.7,38.0,430723
2023,Monterey,06053,Health Outcomes,Stroke among adults,3.1,%,Age-adjusted prevalence,2.8,3.5,430723
2023,Monterey,06053,Disability,Vision disability among adults,7.0,%,Crude prevalence,6.0,8.1,430723
2023,Monterey,06053,Health Outcomes,Cancer (non-skin) or melanoma among adults,5.7,%,Age-adjusted prevalence,5.1,6.3,430723
2023,Monterey,06053,Health Outcomes,Diagnosed diabetes among adults,11.6,%,Age-adjusted prevalence,10.1,13.4,430723
2023,Monterey,06053,Health-Related Social Needs,Food insecurity in the past 12 months among adults,22.6,%,Age-adjusted prevalence,17.9,27.3,430723
2023,Monterey,06053,Health Outcomes,Obesity among adults,31.1,%,Crude prevalence,25.3,37.6,430723
2023,Monterey,06053,Disability,Cognitive disability among adults,16.6,%,Crude prevalence,14.1,19.3,430723
2023,Monterey,06053,Health Outcomes,Coronary heart disease among adults,5.6,%,Age-adjusted prevalence,4.9,6.3,430723
2022,Monterey,06053,Health Risk Behaviors,Short sleep duration among adults,33.9,%,Crude prevalence,28.6,39.5,430723
2023,Monterey,06053,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,11.2,%,Crude prevalence,9.3,13.2,430723
2023,Monterey,06053,Health Risk Behaviors,No leisure-time physical activity among adults,26.7,%,Age-adjusted prevalence,22.4,31.7,430723
2023,Monterey,06053,Health Outcomes,Chronic obstructive pulmonary disease among adults,5.3,%,Age-adjusted prevalence,4.4,6.2,430723
2023,Monterey,06053,Health Outcomes,Arthritis among adults,19.5,%,Age-adjusted prevalence,17.2,22.1,430723
2023,Monterey,06053,Health Outcomes,High cholesterol among adults who have ever been screened,31.9,%,Age-adjusted prevalence,28.2,35.8,430723
